DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1968-04-01,1.33,3.92749244712991,5.76,42.43813015582034,4.736127646790478,5.2,,8.85998780735624,,3.192496868603545,8.517853580690193,,-0.12,3.2943676939426236,3.5,,6.9,5.5,5.515592602630459,-2.8110647302389657,15.599112695007044,9.247246046343482
1968-05-01,1.16,4.229607250755274,6.11,7.975460122699385,6.84287622489872,5.5,,8.386967015285606,,3.096616885096015,9.47829549980086,,-0.24,-3.649635036496346,3.5,,5.633333333333334,5.433333333333334,5.4555815402331564,-3.177670915555575,13.341470711422222,9.786094530100486
1968-06-01,1.35,4.2042042042042205,6.07,12.580128205128215,7.24900438100422,5.5,,8.08764940239044,,3.2775665399239484,9.767166535122328,,-0.35,-3.649635036496346,3.7,,4.366666666666667,5.366666666666666,5.395946628082582,-3.539278995385553,11.140807959070331,10.319812812973005
1968-07-01,1.48,4.491017964071853,6.02,10.850439882697938,7.32883263009847,5.5,,7.762196326288762,,3.396673142302098,11.15058219853957,,-0.52,-3.649635036496346,3.7,,3.1,5.3,5.336684340654596,-3.8959904897936437,8.994994224104724,10.848473812307002
1968-08-01,1.4,4.477611940298498,6.03,6.254442075337607,5.605129294997946,5.48,,7.55677368833203,,3.306472340232536,11.220086308356226,,-0.61,-4.742268041237107,3.5,,2.6,5.2,5.210345908482861,-4.404420532542619,8.954751997932252,10.881330767437202
1968-09-01,1.33,4.464285714285721,5.78,9.500351864883893,6.177378823022028,5.25,,7.557800660578984,,3.506438546641677,10.201706749418161,,-0.32,-4.742268041237107,3.4,,2.1,5.1,5.084639378151712,-4.910410133400189,8.91539481582413,10.913867820567935
1968-10-01,1.26,4.7477744807121525,5.91,5.231388329979869,5.528575228494881,5.25,,7.603241991509058,,3.7689694224235515,11.597032409215146,,-0.33,-4.742268041237107,3.4,,1.6,5.0,4.9595600206505885,-5.413976821318212,8.87689379829737,10.94608962101229
1968-11-01,1.31,4.424778761061954,5.82,5.981794538361518,5.386553622216694,5.25,,7.90483499616268,,3.4196362982174655,11.461151913413236,,-0.12,-1.2917115177610405,3.4,,3.2,4.833333333333333,4.794709740900305,-5.545306506766057,10.347323690666133,10.437723924605557
1968-12-01,1.2,4.705882352941182,6.02,18.34862385321101,4.592797457926334,5.36,,8.00304878048781,,3.5097159940209233,9.78861169301084,,0.01,-1.2917115177610405,3.4,,4.800000000000002,4.666666666666667,4.6320708010401335,-5.678160124586363,11.787612028419225,9.940892973096616
1969-01-01,1.28,4.692082111436946,6.3,28.188405797101446,5.339188411229978,5.5,,7.9446340538490645,,3.9443745883479986,9.907703899039365,,-0.26,-1.2917115177610405,3.4,,6.4,4.5,4.471599002376436,-5.812564354840843,13.198676192477453,9.455208587778774
1969-02-01,1.11,4.678362573099393,6.61,12.171052631578938,5.634411585788834,5.5,,7.824283559577672,,3.6956036598973396,10.326086956521753,,-0.42,1.0288065843621297,3.4,,4.666666666666667,4.033333333333333,3.9982619067761016,-5.673063246286015,11.645261575037956,9.228291737745664
1969-03-01,1.21,5.247813411078739,6.79,6.4802182810368425,6.13154101081459,5.5,,7.726931732933218,,3.8784456497511055,8.194010655888295,,-0.49,1.0288065843621297,3.4,,2.9333333333333336,3.566666666666667,3.530139103987584,-5.529922499772876,10.135822057366028,9.005179288955434
1969-04-01,1.37,5.523255813953476,7.41,-1.9305019305019266,5.588311846976768,5.95,,7.466865783087551,,3.724317603173666,9.172794117647065,,-1.24,1.0288065843621297,3.4,,1.2,3.1,3.067144904825714,-5.382997793245781,8.668516386377512,8.785776362056241
