,Real Gross Domestic Product,Real Gross Domestic Product,Real Gross Domestic Product,Federal Debt: Total Public Debt as Percent of Gross Domestic Product,Gross Private Domestic Investment,Personal Consumption Expenditures
DATE,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1983-05-01,9.0,4.1,7095.953333333333,37.024813333333334,626.6116666666667,2272.9236666666666
1983-06-01,8.6,4.9,7142.924666666667,37.17795666666667,639.4403333333333,2296.4093333333335
1983-07-01,8.2,5.7,7189.896,37.3311,652.269,2319.895
1983-08-01,8.333333333333332,6.433333333333334,7239.8949999999995,37.27924333333333,674.3446666666667,2337.4286666666667
1983-09-01,8.466666666666667,7.166666666666667,7289.894,37.22738666666667,696.4203333333334,2354.9623333333334
1983-10-01,8.6,7.9,7339.893,37.17553,718.4960000000001,2372.496
1983-11-01,8.433333333333334,8.133333333333333,7387.719,37.26851,742.6213333333334,2387.719
1983-12-01,8.266666666666666,8.366666666666667,7435.545,37.36149,766.7466666666667,2402.942
1984-01-01,8.1,8.6,7483.371,37.45447,790.872,2418.165
1984-02-01,7.766666666666667,8.4,7526.47,37.54527,800.2126666666666,2437.402
1984-03-01,7.433333333333333,8.2,7569.569,37.63607,809.5533333333333,2456.639
1984-04-01,7.1,8.0,7612.668000000001,37.72687,818.8939999999999,2475.876
1984-05-01,6.033333333333333,7.633333333333334,7637.131666666667,37.9832,825.5466666666666,2488.425
1984-06-01,4.966666666666667,7.266666666666667,7661.595333333334,38.23953,832.1993333333332,2500.9739999999997
1984-07-01,3.9,6.9,7686.059,38.49586,838.852,2513.5229999999997
1984-08-01,3.6999999999999997,6.466666666666667,7707.089666666667,39.02573,836.4816666666667,2529.614333333333
1984-09-01,3.5,6.033333333333333,7728.120333333333,39.5556,834.1113333333334,2545.7056666666667
1984-10-01,3.3,5.6,7749.151,40.08547,831.7410000000001,2561.797
1984-11-01,3.5,5.266666666666667,7774.183,40.20405,824.4490000000001,2586.534
1984-12-01,3.6999999999999997,4.933333333333333,7799.214999999999,40.32263,817.157,2611.2709999999997
1985-01-01,3.9,4.6,7824.246999999999,40.44121,809.865,2636.008
1985-02-01,3.8,4.3,7847.209999999999,40.73408333333333,815.59,2651.2599999999998
1985-03-01,3.7,4.0,7870.173,41.02695666666666,821.3149999999999,2666.512
1985-04-01,3.6,3.7,7893.1359999999995,41.319829999999996,827.04,2681.764
1985-05-01,4.466666666666667,3.9,7933.315333333333,41.39958333333333,825.4123333333333,2705.892
1985-06-01,5.333333333333334,4.1,7973.4946666666665,41.47933666666667,823.7846666666666,2730.02
1985-07-01,6.2,4.3,8013.674,41.559090000000005,822.1569999999999,2754.1479999999997
1985-08-01,5.133333333333334,4.266666666666667,8033.529,42.30177666666667,834.6196666666666,2762.565333333333
1985-09-01,4.066666666666666,4.233333333333333,8053.384,43.04446333333333,847.0823333333333,2770.982666666667
1985-10-01,3.0,4.2,8073.2390000000005,43.78715,859.545,2779.4
1985-11-01,3.2666666666666666,4.166666666666667,8098.360333333334,43.88281666666666,860.8489999999999,2794.1493333333333
1985-12-01,3.533333333333333,4.133333333333333,8123.481666666667,43.97848333333334,862.153,2808.8986666666665
1986-01-01,3.8,4.1,8148.603,44.07415,863.457,2823.6479999999997
1986-02-01,3.1333333333333333,3.9666666666666663,8160.836333333334,44.485040000000005,860.717,2832.917333333333
1986-03-01,2.466666666666667,3.8333333333333335,8173.069666666667,44.89593,857.977,2842.1866666666665
1986-04-01,1.8,3.7,8185.303000000001,45.30682,855.237,2851.4559999999997
1986-05-01,2.5,3.5,8211.415,45.57966666666667,848.7686666666666,2873.3709999999996
1986-06-01,3.1999999999999997,3.3000000000000003,8237.527000000002,45.852513333333334,842.3003333333334,2895.2859999999996
1986-07-01,3.9,3.1,8263.639000000001,46.12536,835.832,2917.2009999999996
1986-08-01,3.3333333333333335,3.033333333333333,8278.433,46.601193333333335,837.909,2929.0696666666663
1986-09-01,2.7666666666666666,2.966666666666667,8293.227,47.07702666666666,839.986,2940.9383333333335
1986-10-01,2.2,2.9,8308.021,47.552859999999995,842.063,2952.8070000000002
1986-11-01,2.466666666666667,2.8333333333333335,8328.657333333334,47.56135666666666,851.774,2963.0423333333333
1986-12-01,2.7333333333333334,2.7666666666666666,8349.293666666666,47.569853333333334,861.485,2973.277666666667
1987-01-01,3.0,2.7,8369.93,47.57835,871.196,2983.513
1987-02-01,3.466666666666667,2.9333333333333336,8400.031,47.735123333333334,872.3266666666667,3006.7853333333333
1987-03-01,3.9333333333333336,3.1666666666666665,8430.132,47.89189666666667,873.4573333333334,3030.0576666666666
1987-04-01,4.4,3.4,8460.233,48.04867,874.5880000000001,3053.33
1987-05-01,4.1000000000000005,3.3666666666666667,8484.700333333334,48.07128,875.214,3074.6726666666664
1987-06-01,3.8000000000000003,3.333333333333333,8509.167666666666,48.09389,875.84,3096.0153333333333
1987-07-01,3.5,3.3,8533.635,48.1165,876.466,3117.3579999999997
1987-08-01,4.666666666666667,3.6999999999999997,8582.477333333334,48.263223333333336,899.797,3128.544
1987-09-01,5.833333333333334,4.1,8631.319666666666,48.40994666666667,923.1279999999999,3139.7299999999996
1987-10-01,7.0,4.5,8680.162,48.556670000000004,946.459,3150.9159999999997
1987-11-01,5.366666666666666,4.4,8695.11,48.71495,933.829,3177.909333333333
1987-12-01,3.733333333333333,4.3,8710.057999999999,48.87323,921.199,3204.9026666666664
1988-01-01,2.1,4.2,8725.006,49.03151,908.569,3231.8959999999997
1988-02-01,3.2,4.3,8763.217666666666,49.050153333333334,917.221,3251.836
1988-03-01,4.300000000000001,4.4,8801.429333333333,49.068796666666664,925.8729999999999,3271.776
1988-04-01,5.4,4.5,8839.641,49.08744,934.525,3291.716
1988-05-01,4.4,4.4,8856.905666666666,49.14406666666667,937.0196666666666,3315.1103333333335
1988-06-01,3.4,4.3,8874.170333333333,49.200693333333334,939.5143333333333,3338.5046666666667
1988-07-01,2.4,4.2,8891.435,49.25732,942.0089999999999,3361.8990000000003
1988-08-01,3.4000000000000004,4.066666666666666,8930.927666666666,49.41004,948.9219999999999,3386.1123333333335
1988-09-01,4.4,3.933333333333333,8970.420333333333,49.56276,955.835,3410.325666666667
1988-10-01,5.4,3.8,9009.913,49.71548,962.748,3434.539
1988-11-01,4.966666666666667,3.9666666666666663,9040.444666666666,49.72124,976.9943333333333,3453.0833333333335
1988-12-01,4.533333333333333,4.133333333333333,9070.976333333334,49.727,991.2406666666667,3471.6276666666668
1989-01-01,4.1,4.3,9101.508,49.73276,1005.487,3490.172
