DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1948-04-01,,-1.1070983447368428,,,-0.8660330814052777,,,,,-1.2226132556857525,,,,,-1.1265061641198326,,1.0327949160972043,0.5555273046758006,-1.2776170626978451,,-0.9483168516889341,-0.9168998679286177
1948-05-01,,-1.1046315507286293,,,-0.858805730997886,,,,,-1.2111006776442128,,,,,-1.370213246523972,,0.5999389871115358,0.6613420293759532,-1.2768147194769597,,-0.9476277025124202,-0.9166648767503136
1948-06-01,,-1.1028139130383667,,,-0.8531822027314604,,,,,-1.2045299496492812,,,,,-1.309286475922937,,0.16708305812586727,0.7671567540761062,-1.276012376256074,,-0.9469385533359065,-0.9164298855720097
1948-07-01,,-1.0995681314486123,,,-0.8531822027314604,,,,,-1.2010513289460822,,,,,-1.309286475922937,,-0.2657728708598013,0.8729714787762587,-1.2752100330351885,,-0.9462494041593927,-0.9161948943937055
1948-08-01,,-1.0991786376578419,,,-0.8547889250932963,,,,,-1.2005543831313394,,,,,-1.1265061641198326,,-0.4485342630981947,0.6745688699634725,-1.2750526421975716,,-0.9466230621073924,-0.9161262416808631
1948-09-01,,-1.1000874565029732,,,-0.858002369816968,,,,,-1.1973518434363308,,,,,-1.1874329347208674,,-0.631295655336588,0.47616626115068644,-1.2748952513599547,,-0.9469967200553921,-0.9160575889680207
1948-10-01,,-1.100736612820924,,,-0.8547889250932963,,,,,-1.1987046403764638,,,,,-1.2483597053219022,,-0.8140570475749814,0.2777636523379001,-1.2747378605223378,,-0.9473703780033919,-0.9159889362551784
1948-11-01,,-1.1026840817747767,,,-0.8604124533597218,,,,,-1.200167869719873,,,,,-1.1874329347208674,,-1.3719602449342876,-0.11904156528767214,-1.2766809075436771,,-0.9499606937613524,-0.9160769175939495
1948-12-01,,-1.1041122256742686,,,-0.8644263590434418,,,,,-1.2045851658509195,,,,,-1.0655793935187976,,-1.9298634422935939,-0.5158467829132444,-1.2786239545650164,,-0.952551009519313,-0.9161648989327207
1949-01-01,,-1.1046315507286293,,,-0.8684431649480315,,,,,-1.2146345145490498,,,,,-0.8827990817156932,,-2.4877666396528997,-0.9126520005388167,-1.2805670015863562,,-0.9551413252772737,-0.9162528802714918
1949-02-01,,-1.1059298633645311,,,-0.8724570706317516,,,,,-1.2193554997891058,,,,,-0.6390919993115536,,-2.1030058138878607,-1.1639619717016791,-1.2810413536617924,,-0.9573222611345071,-0.916123354417239
1949-03-01,,-1.1059298633645311,,,-0.880490682440931,,,,,-1.226450781699599,,,,,-0.4563116875084491,,-1.7182449881228226,-1.4152719428645415,-1.2815157057372286,,-0.9595031969917405,-0.9159938285629861
1949-04-01,,-1.105800032100941,,,-0.8829007659836848,,,,,-1.2265612141028752,,,,,-0.2735313757053446,,-1.3334841623577836,-1.6665819140274039,-1.2819900578126648,,-0.9616841328489739,-0.9158643027087331
1949-05-01,,-1.1059298633645311,,,-0.8885213940292408,,,,,-1.2335184555092733,,,,,0.21388278910293418,,-0.7948190062867294,-1.6136745516773279,-1.280559207998929,,-0.9606383963921356,-0.9159156318398303
1949-06-01,,-1.105800032100941,,,-0.8893247552101587,,,,,-1.2402824402099382,,,,,0.27480955970396936,,-0.2561538502156753,-1.5607671893272514,-1.2791283581851929,,-0.9595926599352972,-0.9159669609709274
1949-07-01,,-1.1086563198999246,,,-0.8901281163910766,,,,,-1.2460249251802984,,,,,0.5794434127091437,,0.282511305855379,-1.507859826977175,-1.277697508371457,,-0.9585469234784587,-0.9160182901020245
1949-08-01,,-1.1086563198999246,,,-0.8861113104864868,,,,,-1.2434573718041277,,,,,0.6403701833101784,,-0.4389152424540686,-1.6269013922648468,-1.2788726888891735,,-0.9592047764309015,-0.9158223571844147
1949-09-01,,-1.108007163581974,,,-0.882097404802767,,,,,-1.2391505080763574,,,,,0.5185166421081084,,-1.1603417907635163,-1.7459429575525185,-1.2800478694068893,,-0.9598626293833443,-0.9156264242668049
