,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC,AAA,BAA,CIVPART,GS20,GS3,IRLTLT01USM156N,M1SL,MCOILWTICO,PPIACO,TCU,TOTALSA,PMI
1968-05-01,-0.9684385552225354,0.36545896167269104,-0.0570161555593198,-0.18666794355219074,0.3717262277605627,,-0.9173179022764549,,-0.5800899253242345,-1.0041152770517265,,-0.8282279158695792,0.4410948026367924,-1.370213246523972,,0.6961291935527957,0.8861983193637777,-0.7464758236216402,-0.8640116040690254,-0.8463477473194511,-0.8251711817802885,0.19869895093872855,0.03910745807111137,-0.9925553252506424,-0.08603761257303456,0.2766842759209093,-0.07510802526848083,-0.8833128337549008,,-0.5797940869374995,1.7763893853131263,,0.32643513997438117
1968-06-01,-0.9658419299507318,0.35434168894133505,-0.0646362943292301,-0.18261053455542475,0.3717262277605627,,-0.9163678776673778,,-0.5731050758170174,-1.0025684141917295,,-0.8983315543136586,0.4410948026367924,-1.2483597053219022,,0.3306064090760089,0.8597446381887394,-0.7440247403758152,-0.8590536474361523,-0.847378309849467,-0.8238792917119876,0.20244458890971959,0.0532441667811168,-0.9592501837150503,-0.1399558589543786,0.1848346577588279,-0.12753629553019133,-0.8818013341680829,,-0.5797940869374995,1.7711136246565256,,0.07891627205585434
1968-07-01,-0.9632453046789282,0.3404450980271399,0.207148655130904,-0.18431006398509225,0.3717262277605627,,-0.9155975874438017,,-0.5670036855360097,-1.0009263597711175,,-1.006673540999963,0.4410948026367924,-1.2483597053219022,,-0.03491637540077798,0.8332909570137013,-0.7415736571299901,-0.8540956908032792,-0.8484088723794831,-0.8225874016436868,0.18746203702575648,0.021436572183604674,-1.0258604667862345,-0.17949590630069778,0.09615226780923197,-0.2044310919140331,-0.8806137273498688,,-0.5781713263117949,1.6575534733287436,,0.1614225613620303
1968-08-01,-0.9619469920430266,0.34322441620997907,0.16396786876807895,-0.18122132875881938,0.3646645393767071,,-0.9146218864939387,,-0.5613716329689254,-1.000022039945273,,-1.0640310633633003,0.4410948026367924,-1.370213246523972,,-0.1792016850626675,0.7936104352511442,-0.7403200784065453,-0.8587444035451223,-0.8468039134945471,-0.8218772149938977,0.10505800166395933,-0.03511026265641703,-1.0924707498574164,-0.20106320485323534,0.05814552925940516,-0.232392836053612,-0.8792101920192521,,-0.5797940869374995,1.6346122697495995,,-0.031092113685712918
1968-09-01,-0.960648679407125,0.27374146163900415,0.31891069042292175,-0.17701890871856632,0.2834551229623666,,-0.9135434801809322,,-0.5571199854427933,-0.9997364652634274,,-0.8792123801925461,0.42121367345842803,-1.4311400171250068,,-0.323486994724557,0.7539299134885867,-0.7390664996831006,-0.8633931162869654,-0.8451989546096109,-0.8211670283441086,0.08632981180900556,-0.04571279418892117,-1.1257758913930087,-0.18309045605945398,0.04864384462194838,-0.21841196398382254,-0.8782385137134406,,-0.5765485656860903,1.6326547476960194,,-0.1548515476449773
1968-10-01,-0.9580520541353214,0.3098725980159111,0.35193129175919974,-0.17480894041582432,0.2834551229623666,,-0.9125164265494974,,-0.5505768655486808,-0.9989273369981981,,-0.8855854382329169,0.40133254428006127,-1.4311400171250068,,-0.4677723043864465,0.7142493917260296,-0.7378129209596557,-0.8680418290288084,-0.8435939957246749,-0.8204568416943193,0.13127746746089483,-0.02804190830141447,-1.1257758913930087,-0.12557765991935343,0.0898178113842607,-0.17646934777445422,-0.876834978382824,,-0.5765485656860903,1.5936475399454224,,0.395190381062861
1968-11-01,-0.9567537414994195,0.2848587343703602,0.5068741134140425,-0.16037164092625927,0.2834551229623666,,-0.9112839621917757,,-0.5433159350332732,-0.9977136446003545,,-0.7517512193851292,0.3814514151016957,-1.4311400171250068,,-0.0060593134684000525,0.6481151887884342,-0.7328048145168778,-0.8793824474293096,-0.8399181119519673,-0.8194921748367627,0.1687338471708027,0.032039103716108505,-1.0924707498574164,-0.08244306281427835,0.10565395244668875,-0.13452673156508588,-0.8746756932587983,,-0.5749258050603855,1.781378679327737,,0.7114644900698686
1968-12-01,-0.9541571162276161,0.3404450980271399,0.29859032036982763,-0.15680146903560946,0.322294409073573,,-0.9101542031971973,,-0.5360273964170468,-0.997761240380662,,-0.6689014648603082,0.5660619003293755,-1.4311400171250068,,0.4556536774496468,0.581980985850839,-0.7277967080741,-0.890723065829811,-0.8362422281792596,-0.818527507979206,0.26612043441656263,0.1097910016211385,-1.0591656083218244,0.03258252946592274,0.2925204169833371,-0.01918453698932305,-0.8731641936719805,,-0.5733030444346808,1.7671747083292022,,0.4364435257159494
1969-01-01,-0.9528588035917143,0.41826600714663187,0.8599405430865532,-0.14993954645780505,0.3717262277605627,,-0.9095122946775506,,-0.5307542491606101,-0.9960953880698961,,-0.8409740319503209,0.750672385557053,-1.4311400171250068,,0.9173666683676929,0.5158467829132435,-0.7227886016313222,-0.902063684230312,-0.8325663444065519,-0.8175628411216495,0.3185593660104333,0.14159859621865062,-1.0924707498574164,0.07212257681224195,0.31152378625825033,-0.015689318971875765,-0.8717606583413638,,-0.5700575231832716,1.815563698604881,,0.27143094710359755
1969-02-01,-0.9515604909558126,0.5044248708146408,0.6973775826618,-0.1426396905286698,0.3717262277605627,,-0.9088447098171181,,-0.5235761429476598,-0.9948578977818985,,-0.9429429605962544,0.935282870784734,-1.4311400171250068,,0.41717759487314254,0.33067101468797644,-0.7218005993065587,-0.9196120182492191,-0.8324610752892221,-0.8166539946941609,0.34477883180736874,0.13453024186364776,-0.9592501837150503,0.11525717391731735,0.3431960683831062,0.036738951289834725,-0.8711128728041561,,-0.5668120019318623,1.8738357880291228,,0.5602029596752128
